,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery,title_short,year,bad_good
30110,France,"While the color of this wine is light, the intensity and the structure are not. It comes from 30-year-old vines, planted densely that gives the wine huge concentration. It is firm full of tannins that lie over the ripe fruit. As it develops, this wine will be sumptuous, ripe and impressive. Wait until 2023.",,95,142.0,Burgundy,Corton,,Roger Voss,@vossroger,Roche de Bellene 2018  Corton,Pinot Noir,Roche de Bellene, 2018  Corton,2018,Good
30121,France,"Properly rich and majestic, this wine also has impressive amounts of crisp acidity to balance its concentration. The wine has layers of peach and apricot along with beautiful acidity and a taut texture that will allow it to age. It is generous and will become opulent and full bodied as it develops. Drink this powerful wine from 2022.",,95,214.0,Burgundy,Corton-Charlemagne,,Roger Voss,@vossroger,Olivier Leflaive 2018  Corton-Charlemagne,Chardonnay,Olivier Leflaive, 2018  Corton-Charlemagne,2018,Good
31555,France,"The wine is ripe with red-cherry and plum flavors and plenty of acidity to balance. It is a rounded wine, generous with fruitiness and with a touch of tannin at the end. This is a fine village wine from this attractive appellation.",,90,45.0,Burgundy,Savigny-lès-Beaune,,Roger Voss,@vossroger,Louis Latour 2019  Savigny-lès-Beaune,Pinot Noir,Louis Latour, 2019  Savigny-lès-Beaune,2019,Mid
32328,France,"A deliciously soft, smoky wine, the tannins a hint behind the rounded fresh berry and red-plum fruits. There is a great juicy character to go with the fresh acidity and the final, drier structure.",Beaune Grèves Premier Cru,91,51.0,Burgundy,Beaune,,Roger Voss,@vossroger,Joseph Drouhin 2011 Beaune Grèves Premier Cru  (Beaune),Pinot Noir,Joseph Drouhin, 2011 Beaune Grèves Premier Cru  (Beaune),2011,Good
32842,France,"Firmly structured, with bitter black cherries, red berry fruits and concentrated but vibrant fruit. This is delicious Pinot Noir, not powerful, but immediately enjoyable. Aging? Maybe, but not more than 3–4 years.",Clos des Guettes Premier Cru,89,35.0,Burgundy,Savigny-lès-Beaune,,Roger Voss,@vossroger,Henri de Villamont 2009 Clos des Guettes Premier Cru  (Savigny-lès-Beaune),Pinot Noir,Henri de Villamont, 2009 Clos des Guettes Premier Cru  (Savigny-lès-Beaune),2009,Mid
32866,France,"Very fresh, very raspberry, this wine opens gently with sweetness and roundness. The tannins do come into play, but ever so gently, a counterpoint to the sweet, fine fruits that dominate this attractive, relatively early drinking wine.",Les Chouacheux Premier Cru,89,40.0,Burgundy,Beaune,,Roger Voss,@vossroger,Louis Jadot 2009 Les Chouacheux Premier Cru  (Beaune),Pinot Noir,Louis Jadot, 2009 Les Chouacheux Premier Cru  (Beaune),2009,Mid
33263,France,"The power and structure of a Corton-Charlemagne are very evident in this firm and closed wine. At this young stage, it is all about the concentrated texture and weight. The acidity and the rich fruits will come later. Drink from 2022.",Corton Charlemagne Grand Cru,92,230.0,Burgundy,Corton-Charlemagne,,Roger Voss,@vossroger,Jean-Luc and Paul Aegerter 2016 Corton Charlemagne Grand Cru  (Corton-Charlemagne),Chardonnay,Jean-Luc and Paul Aegerter, 2016 Corton Charlemagne Grand Cru  (Corton-Charlemagne),2016,Good
35726,France,"As its name suggests, this vineyard is above the Marconnets, one of Beaune's top vineyards. Beautifully perfumed, it is ripe with orange zest, apples and a streak of delicious citrus acidity. It has a light touch, fruity, with hints of wood and minerality.",Clos du Dessus des Marconnets,91,75.0,Burgundy,Beaune,,Roger Voss,@vossroger,Domaine Pierre Labet 2017 Clos du Dessus des Marconnets  (Beaune),Chardonnay,Domaine Pierre Labet, 2017 Clos du Dessus des Marconnets  (Beaune),2017,Good
36179,France,"While there is a strongly wooded aroma, the yellow fruits shine through on the palate. Attractively rounded and soft, the wine has bright acidity, a good citrus touch and a feeling of lightness. Drink from 2020.",Hauts Marconnets Premier Cru,88,45.0,Burgundy,Savigny-lès-Beaune,,Roger Voss,@vossroger,Domaine Chanson 2015 Hauts Marconnets Premier Cru  (Savigny-lès-Beaune),Chardonnay,Domaine Chanson, 2015 Hauts Marconnets Premier Cru  (Savigny-lès-Beaune),2015,Mid
36181,France,"Full of red fruits, it also has a strong structure and firm tannins. For now, the wine is textured and dense. It needs to age and broaden out to give a softer feeling. Drink from 2022.",Moutier Amet,88,25.0,Burgundy,Savigny-lès-Beaune,,Roger Voss,@vossroger,Domaine du Prieuré 2015 Moutier Amet  (Savigny-lès-Beaune),Pinot Noir,Domaine du Prieuré, 2015 Moutier Amet  (Savigny-lès-Beaune),2015,Mid
37495,France,"Ripe and rich, this full-bodied wine retains minerality as well as attractive acidity. Crisp lemon flavor is rounded out with peach and apple skin fruits. The wood, already integrated, gives richness and smoothness. Drink from 2020.",Clos des Mouches Premier Cru,93,110.0,Burgundy,Beaune,,Roger Voss,@vossroger,Domaine Chanson 2015 Clos des Mouches Premier Cru  (Beaune),Chardonnay,Domaine Chanson, 2015 Clos des Mouches Premier Cru  (Beaune),2015,Good
37497,France,"This is a soft wine on the surface, but under that generosity lies a firm core that gives the promise of aging. This powerful wine comes from stony soil which explains the tannic structure while the richness comes from ripe berry fruits. Drink from 2021.",Les Teurons Premier Cru,93,50.0,Burgundy,Beaune,,Roger Voss,@vossroger,Domaine Rossignol-Trapet 2015 Les Teurons Premier Cru  (Beaune),Pinot Noir,Domaine Rossignol-Trapet, 2015 Les Teurons Premier Cru  (Beaune),2015,Good
37512,France,"Perfume partners with great acidity in this wine. The two work in harmony, resulting in a wine that has a soft texture, rich, jammy berry fruits and a backbone of tannins that will allow for aging. Drink from 2021.",Clos de la Mousse Premier Cru,93,60.0,Burgundy,Beaune,,Roger Voss,@vossroger,Bouchard Père & Fils 2015 Clos de la Mousse Premier Cru  (Beaune),Pinot Noir,Bouchard Père & Fils, 2015 Clos de la Mousse Premier Cru  (Beaune),2015,Good
37726,France,"Red-berry fruits dominate this already delicious wine. Allied with the acidity and the toasty wood aging, it is balanced while, of course, still young. It has potential, rich with tannins and with fine fruits. The wine is structured, needing time. Drink from 2025.",Clos du Roi Premier Cru,93,80.0,Burgundy,Beaune,,Roger Voss,@vossroger,Bouchard Aîné et Fils 2019 Clos du Roi Premier Cru  (Beaune),Pinot Noir,Bouchard Aîné et Fils, 2019 Clos du Roi Premier Cru  (Beaune),2019,Good
37735,France,"Structured, ripe and with great fruit, this is a bold warm wine. It has plenty of rich berry fruits, ripe tannins and layers of spice and toast. With its concentration, this is going to be a rich wine. Drink from 2022.",Les Vergelesses Premier Cru,93,53.0,Burgundy,Savigny-lès-Beaune,,Roger Voss,@vossroger,Maison Champy 2019 Les Vergelesses Premier Cru  (Savigny-lès-Beaune),Pinot Noir,Maison Champy, 2019 Les Vergelesses Premier Cru  (Savigny-lès-Beaune),2019,Good
38296,France,"This is a structured, fruity wine that has ripe strawberry and red plum flavors. Its tannins are condensed at the core, and the finish is marked by refreshing acidity. The vineyard is wholly owned by Faiveley.",Clos de L'Ecu Premier Cru,91,70.0,Burgundy,Beaune,,Roger Voss,@vossroger,Domaine Faiveley 2014 Clos de L'Ecu Premier Cru  (Beaune),Pinot Noir,Domaine Faiveley, 2014 Clos de L'Ecu Premier Cru  (Beaune),2014,Good
38337,France,"This is a smooth wine with gentle tannins and red berry fruit. It has juicy acidity and a slight toastiness from oak. With spice and acidity, it will be an attractive wine to drink from 2022.",,87,32.0,Burgundy,Beaune,,Roger Voss,@vossroger,Nuiton-Beaunoy 2019  Beaune,Pinot Noir,Nuiton-Beaunoy, 2019  Beaune,2019,Mid
38522,France,"Not quite as big as the Bâtard, Latour's Corton-Charlie is the house's flagship (the company owns 10 hectares of the grand cru) and most ageable wine. The 2004 boasts aromas of gunflint, pear, smoked meat and buttered toast. White peaches emerge on the palate, but the primary flavors are of minerals and spice. Finishes with tons of citrus and an almost tannic feel. Give it two or three years to begin to soften.",,92,90.0,Burgundy,Corton-Charlemagne,,,,Louis Latour 2004  Corton-Charlemagne,Chardonnay,Louis Latour, 2004  Corton-Charlemagne,2004,Good
39058,France,"This is a blend from several Grand Crus on the Corton hill. It is rich and spicy, with great black fruits and solid tannins. A powerful wine, it's shot through with acidity and black-plum fruits throughout the structure. Drink from 2023.",Château Corton Grancey,95,170.0,Burgundy,Corton,,Roger Voss,@vossroger,Louis Latour 2018 Château Corton Grancey  (Corton),Pinot Noir,Louis Latour, 2018 Château Corton Grancey  (Corton),2018,Good
39071,France,"Intense and concentrated, this offers ripe yellow fruits, rich apples and a tight mineral texture. It has power, reinforced by subtle wood aging. A flagship for this producer, the wine will age well. Drink from 2024.",,94,175.0,Burgundy,Corton-Charlemagne,,Roger Voss,@vossroger,Louis Latour 2018  Corton-Charlemagne,Chardonnay,Louis Latour, 2018  Corton-Charlemagne,2018,Good
39074,France,"A ripe, juicy and fruity wine, this is rich while shot through with fresh acidity. A dusty smoky structure awaits behind the fruit. It will become a well-balanced wine, packed with fruit and supple tannins. Drink from 2024.",Les Cent Vignes Premier Cru,94,52.0,Burgundy,Beaune,,Roger Voss,@vossroger,Seguin-Manuel 2018 Les Cent Vignes Premier Cru  (Beaune),Pinot Noir,Seguin-Manuel, 2018 Les Cent Vignes Premier Cru  (Beaune),2018,Good
39077,France,"This monopole vineyard came into the Bouchard family in 1791, 60 years after the maison was founded. This wine is smoky and full of fruit and sweet tannins. With its balanced tannins and rich fruits, it is developing well. The dense structure behind the fruit promises good aging. Drink from 2024.",Vigne de l'Enfant Jésus Grèves Premier Cru,94,100.0,Burgundy,Beaune,,Roger Voss,@vossroger,Bouchard Père & Fils 2018 Vigne de l'Enfant Jésus Grèves Premier Cru  (Beaune),Pinot Noir,Bouchard Père & Fils, 2018 Vigne de l'Enfant Jésus Grèves Premier Cru  (Beaune),2018,Good
40274,France,"The light, stony soil of Les Lavières produces structured, tight and firm wines, unlike many of the softer wines from Savigny. With new wood and licorice flavors, it is darkly textured and firm. The red fruits are still developing, showing the rich potential of the wine. Drink from 2021.",Les Lavières Premier Cru,92,60.0,Burgundy,Savigny-lès-Beaune,,Roger Voss,@vossroger,Bouchard Père & Fils 2015 Les Lavières Premier Cru  (Savigny-lès-Beaune),Pinot Noir,Bouchard Père & Fils, 2015 Les Lavières Premier Cru  (Savigny-lès-Beaune),2015,Good
40420,France,"With its firmness and juicy red-fruit flavor, this wine is delicious to drink now, but it will also age for at least six years. This bottling demonstrates the structure and generosity of one of Beaune's most famous premier crus.",Beaune Grèves Premier Cru,92,74.0,Burgundy,Beaune,,Roger Voss,@vossroger,Joseph Drouhin 2014 Beaune Grèves Premier Cru  (Beaune),Pinot Noir,Joseph Drouhin, 2014 Beaune Grèves Premier Cru  (Beaune),2014,Good
40596,France,"Rich as well as structured, it's ripe and already delicious. Berry and cherry fruits are nicely surrounded by both acidity and tannins. Full in the mouth, it's going to be an estimable wine. Drink from 2021.",,90,30.0,Burgundy,Savigny-lès-Beaune,,Roger Voss,@vossroger,Pierre André 2015  Savigny-lès-Beaune,Pinot Noir,Pierre André, 2015  Savigny-lès-Beaune,2015,Mid
41401,France,"This iconic wine is rich and perfumed. It's powerful and concentrated, with layers of wood contrasted by explosive, ripe fruits. Ripe red-fruit flavors are brightened by ample acidity, resulting in a sumptuous wine that also has enough tannins to age. Drink from 2022.",Vigne de l'Enfant Jésus Grèves Premier Cru,94,100.0,Burgundy,Beaune,,Roger Voss,@vossroger,Bouchard Père & Fils 2015 Vigne de l'Enfant Jésus Grèves Premier Cru  (Beaune),Pinot Noir,Bouchard Père & Fils, 2015 Vigne de l'Enfant Jésus Grèves Premier Cru  (Beaune),2015,Good
43677,France,"This beautifully perfumed wine offers an appealing combination of red berry fruits, fragrant acidity and a firmer, dry background. The wine is already deliciously juicy and fruity, although its dry tannins and concentration promise further aging. Drink from 2022.",Vieilles Vignes,91,58.0,Burgundy,Savigny-lès-Beaune,,Roger Voss,@vossroger,Domaine de Bellene 2016 Vieilles Vignes  (Savigny-lès-Beaune),Pinot Noir,Domaine de Bellene, 2016 Vieilles Vignes  (Savigny-lès-Beaune),2016,Good
43709,France,"Pure strawberry and red cherry fruits with a twist of acidity make this a wine that is already delicious. Just under the surface is a firm wood-and-tannin character and a dense, if juicy, structure. Age for 4–5 years.",Beaune Bressandes Premier Cru,93,44.0,Burgundy,Beaune,,Roger Voss,@vossroger,Louis Jadot 2013 Beaune Bressandes Premier Cru  (Beaune),Pinot Noir,Louis Jadot, 2013 Beaune Bressandes Premier Cru  (Beaune),2013,Good
43879,France,"This wine is initially austere, but then shows rich, ripe fruit and a solid structure. The wine's strong tannic character suggests considerable aging potential, while it already shows a deliciously gentle side.",Champs-Pimont Premier Cru,92,76.0,Burgundy,Beaune,,Roger Voss,@vossroger,Domaine Jacques Prieur 2013 Champs-Pimont Premier Cru  (Beaune),Pinot Noir,Domaine Jacques Prieur, 2013 Champs-Pimont Premier Cru  (Beaune),2013,Good
44439,France,"Rather lean and austere, this is a tight, structured wine. Its future lies in the firm tannins and the juicy red-currant fruit. Wait for this wine and don't drink before 2024.",Aux Serpentières Premier Cru,90,75.0,Burgundy,Savigny-lès-Beaune,,Roger Voss,@vossroger,Michel et Joana Ecard 2018 Aux Serpentières Premier Cru  (Savigny-lès-Beaune),Pinot Noir,Michel et Joana Ecard, 2018 Aux Serpentières Premier Cru  (Savigny-lès-Beaune),2018,Mid
44923,France,"From the Villamont domaine, this is a soft, rounded, quite generous wine that is dominated by enjoyable bright red fruits. It's fresh, ripe, just lightly touched by tannins, and with a juicy, friendly aftertaste.",Le Village,88,30.0,Burgundy,Savigny-lès-Beaune,,Roger Voss,@vossroger,Henri de Villamont 2009 Le Village  (Savigny-lès-Beaune),Pinot Noir,Henri de Villamont, 2009 Le Village  (Savigny-lès-Beaune),2009,Mid
44924,France,"There is some good depth of flavor to this wine, the strawberry flavors going right through until they meet the tannic core. The acidity balances well, pushing the fruit through the dryness, leaving freshness and juicy fruits.",Clos du Roi Premier Cru,88,41.0,Burgundy,Beaune,,Roger Voss,@vossroger,Bouchard Aîné & Fils 2009 Clos du Roi Premier Cru  (Beaune),Pinot Noir,Bouchard Aîné & Fils, 2009 Clos du Roi Premier Cru  (Beaune),2009,Mid
48184,France,"From a small parcel at the base of the hill of Beaune, this is a delicious wine with a touch of vanilla. It is rounded, smooth and rich, bringing out both fruit and toasty wood flavors that are integrated well. Drink from 2020.",Clos Saint-Désiré,90,40.0,Burgundy,Beaune,,Roger Voss,@vossroger,Louis Latour 2015 Clos Saint-Désiré  (Beaune),Chardonnay,Louis Latour, 2015 Clos Saint-Désiré  (Beaune),2015,Mid
49738,France,"While Savigny is better known for its red wines, its whites have a rich, soft character that makes them accessible when young. This wine, from 40-year-old vines and aged lightly in wood, is structured, mineral and full of crisp green and white fruits. Drink from 2020.",,88,58.0,Burgundy,Savigny-lès-Beaune,,Roger Voss,@vossroger,Domaine de Bellene 2016  Savigny-lès-Beaune,Chardonnay,Domaine de Bellene, 2016  Savigny-lès-Beaune,2016,Mid
49783,France,"A ripe, pure wine of red fruit around a core of toast, dominated by vital acidity and an edge of dry tannins. The wine is linear, finely balanced, fruity and exuberant.",Champs Pimont,91,67.0,Burgundy,Beaune,,Roger Voss,@vossroger,Domaine Jacques Prieur 2012 Champs Pimont  (Beaune),Pinot Noir,Domaine Jacques Prieur, 2012 Champs Pimont  (Beaune),2012,Good
51350,France,"This blend from five Beaune Premier Crus was made to celebrate the Potel family's 50 years in wine. It is a richly structured, beautiful wine with its dark tannins and black fruit showing so well. Concentrated from the low yielding old vines, the wine is packed with fruits and acidity that are developing slowly. Drink from 2024.",Cuvée du Cinquantenaire Vieilles Vignes Premier Cru,94,100.0,Burgundy,Beaune,,Roger Voss,@vossroger,Domaine de Bellene 2018 Cuvée du Cinquantenaire Vieilles Vignes Premier Cru  (Beaune),Pinot Noir,Domaine de Bellene, 2018 Cuvée du Cinquantenaire Vieilles Vignes Premier Cru  (Beaune),2018,Good
51351,France,"This wine comes from perhaps the most well-known of the many Beaune Premier Crus, from a small parcel of vines that are over 100 years old. It is a rich wine, generous and with a ripe future. At present, the structure and tannins dominate, allowing the wine to have good aging potential. Drink from 2024.",Les Grèves Premier Cru,94,86.0,Burgundy,Beaune,,Roger Voss,@vossroger,Domaine de Bellene 2018 Les Grèves Premier Cru  (Beaune),Pinot Noir,Domaine de Bellene, 2018 Les Grèves Premier Cru  (Beaune),2018,Good
51750,France,"Rich, round and complex, this is full of ripe red-berry flavors. The acidity drives the solid tannins and firm structure. The wine has the approachability of Beaune, but it can also be aged for 4–5 years.",Les Cent Vignes Premier Cru,90,55.0,Burgundy,Beaune,,Roger Voss,@vossroger,Jaffelin 2014 Les Cent Vignes Premier Cru  (Beaune),Pinot Noir,Jaffelin, 2014 Les Cent Vignes Premier Cru  (Beaune),2014,Mid
52630,France,"One of Faiveley's monopoles (wholly owned vineyards), Clos des Cortons makes powerful wines. That's the case in 2009. This wine towers up, a strong edifice of tannins and big, black fruits. It has all the right elements coming into place, along with weight and some elegance.",Clos des Cortons,95,195.0,Burgundy,Corton,,Roger Voss,@vossroger,Faiveley 2009 Clos des Cortons  (Corton),Pinot Noir,Faiveley, 2009 Clos des Cortons  (Corton),2009,Good
52880,France,"This Beaune bottling has a dense structure that broods through its tannic outer skin. Perfumed red fruits will shortly burst out to give an opulent, rich wine with both great acidity and layers of spice that finish with freshness. Drink from 2021.",Clos des Ursules Premier Cru,95,93.0,Burgundy,Beaune,,Roger Voss,@vossroger,Louis Jadot 2017 Clos des Ursules Premier Cru  (Beaune),Pinot Noir,Louis Jadot, 2017 Clos des Ursules Premier Cru  (Beaune),2017,Good
52919,France,"Structured and dense with tannins, this is a big wine with a big future. Its black fruits, acidity and solid texture all point to its weight and richness. It is going to be a rich fruity wine. But wait until 2023.",,92,32.0,Burgundy,Savigny-lès-Beaune,,Roger Voss,@vossroger,Chanson Père et Fils 2019  Savigny-lès-Beaune,Pinot Noir,Chanson Père et Fils, 2019  Savigny-lès-Beaune,2019,Good
52932,France,"This is a structured, full-bodied wine that has solid tannins and concentrated fruitiness. It is packed with red-berry flavors, ripe tannins and spice from the wood aging. The wine will take time to develop. Drink from 2022.",Les Lavières Premier Cru,92,36.0,Burgundy,Savigny-lès-Beaune,,Roger Voss,@vossroger,Seguin-Manuel 2019 Les Lavières Premier Cru  (Savigny-lès-Beaune),Pinot Noir,Seguin-Manuel, 2019 Les Lavières Premier Cru  (Savigny-lès-Beaune),2019,Good
53120,France,"Showing a dry character from the wood aging, this spicy wine also has fruit weight. While it is still young, its ripe berry flavors laced with black cherries are right up front. It does have the rounded character of a Beaune and this will develop more strongly. Drink from 2021.",Clos de l'Ermitage,89,48.0,Burgundy,Beaune,,Roger Voss,@vossroger,Albert Bichot 2019 Clos de l'Ermitage  (Beaune),Pinot Noir,Albert Bichot, 2019 Clos de l'Ermitage  (Beaune),2019,Mid
54566,France,"A rounded, wood-aged wine, this is full of ripe red-berry and spice flavors, with a core of warm, smoky tannins. It is structured and should age over several years.",Domaine de la Créa Les Grands Picotins,88,29.0,Burgundy,Savigny-lès-Beaune,,Roger Voss,@vossroger,Louis Max 2014 Domaine de la Créa Les Grands Picotins  (Savigny-lès-Beaune),Pinot Noir,Louis Max, 2014 Domaine de la Créa Les Grands Picotins  (Savigny-lès-Beaune),2014,Mid
57016,France,"This walled vineyard has produced a surprisingly tannic, if impressive, wine for a Savigny in this vintage. It has a dark and firm character, the red berry fruits just beginning to break through the firm and dry tannins. It needs 4–5 years' aging.",Clos des Guettottes,90,42.0,Burgundy,Savigny-lès-Beaune,,Roger Voss,@vossroger,Pierre André 2013 Clos des Guettottes  (Savigny-lès-Beaune),Pinot Noir,Pierre André, 2013 Clos des Guettottes  (Savigny-lès-Beaune),2013,Mid
57401,France,"A soft and rounded wine, full of ripe fruits that command all the attention. Red fruits dominate, just supported by tannins and a firm dryness. This is a rich wine that will age quickly, worth drinking in the next two years.",,88,35.0,Burgundy,Beaune,,Roger Voss,@vossroger,Nuiton-Beaunoy 2014  Beaune,Pinot Noir,Nuiton-Beaunoy, 2014  Beaune,2014,Mid
57510,France,The wine is juicy with intense acidity. Its red-currant flavor is consistent with this acidity. Tannins are firm and will soften. The juicy aftertaste gives the wine crispness.,Aux Serpentières Premier Cru,87,65.0,Burgundy,Savigny-lès-Beaune,,Roger Voss,@vossroger,Domaine Pierre Guillemot 2019 Aux Serpentières Premier Cru  (Savigny-lès-Beaune),Pinot Noir,Domaine Pierre Guillemot, 2019 Aux Serpentières Premier Cru  (Savigny-lès-Beaune),2019,Mid
57546,France,"With the velvet texture typical of the appellation, this smooth wine offers a good balance between the red fruits and soft tannins. A smoky edge mingles with the berry-fruit acidity to give a wine ready to drink from 2022.",Vieilles Vignes,89,50.0,Burgundy,Savigny-lès-Beaune,,Roger Voss,@vossroger,Jean-Luc and Paul Aegerter 2018 Vieilles Vignes  (Savigny-lès-Beaune),Pinot Noir,Jean-Luc and Paul Aegerter, 2018 Vieilles Vignes  (Savigny-lès-Beaune),2018,Mid
57825,France,"Showing austerity via its tannins, this is a severe wine despite its red berry fruit. It has layers of wood and a dry core. Age for six years or more.",Clos de Fèves,92,95.0,Burgundy,Beaune,,Roger Voss,@vossroger,Chanson Père et Fils 2012 Clos de Fèves  (Beaune),Pinot Noir,Chanson Père et Fils, 2012 Clos de Fèves  (Beaune),2012,Good
58089,France,"This firm wine is solid with tannins while also having the fruitiness of the year. A dry element will allow the wine to age balanced, with bright juicy fruits shining through. It comes from one of the lesser-known premier cru vineyards in Beaune. Drink from 2022.",Montée Rouge Premier Cru,92,80.0,Burgundy,Beaune,,Roger Voss,@vossroger,Château de Santenay 2017 Montée Rouge Premier Cru  (Beaune),Pinot Noir,Château de Santenay, 2017 Montée Rouge Premier Cru  (Beaune),2017,Good
58456,France,"Produced at a Domaine that is run by the Arnoux family, the wine has both a rich side and a firm side. The rich side is expressed in the bold red fruits, while the firm side comes through in the tannins and structure that will allow the wine to age. Drink this dense wine from 2024.",Vieilles Vignes,91,40.0,Burgundy,Savigny-lès-Beaune,,Roger Voss,@vossroger,Domaine Des Meix Porons 2019 Vieilles Vignes  (Savigny-lès-Beaune),Pinot Noir,Domaine Des Meix Porons, 2019 Vieilles Vignes  (Savigny-lès-Beaune),2019,Good
58459,France,"A smoky spicy wine that is full of berry fruits and with some toasty wood-aging flavors. With its tannic structure it will need to age, although already the bright berry fruits are generous and ripe. Drink from 2022.",Vieilles Vignes,91,50.0,Burgundy,Savigny-lès-Beaune,,Roger Voss,@vossroger,Domaine Pierre Guillemot 2019 Vieilles Vignes  (Savigny-lès-Beaune),Pinot Noir,Domaine Pierre Guillemot, 2019 Vieilles Vignes  (Savigny-lès-Beaune),2019,Good
58494,France,"This is a smoky and ripe wine from Beaune's top premier cru. Structured, dusty tannins support the red fruits and acidity. The combination is already rich, but holds good potential as well. It will be best from 2024.",Sur les Grèves Clos Sainte-Anne Premier Cru Monopole,92,58.0,Burgundy,Beaune,,Roger Voss,@vossroger,Jaffelin 2018 Sur les Grèves Clos Sainte-Anne Premier Cru Monopole  (Beaune),Pinot Noir,Jaffelin, 2018 Sur les Grèves Clos Sainte-Anne Premier Cru Monopole  (Beaune),2018,Good
58515,France,"This rich wine has spice and red fruits backed by a dry texture. The smoky wood is still right up front, giving the wine a firm character. Wait for the fruit to develop further and drink from 2024.",Les Cent Vignes Premier Cru,92,47.0,Burgundy,Beaune,,Roger Voss,@vossroger,Domaine Jessiaume 2018 Les Cent Vignes Premier Cru  (Beaune),Pinot Noir,Domaine Jessiaume, 2018 Les Cent Vignes Premier Cru  (Beaune),2018,Good
58603,France,"This wine is rich, sweet, extravagant and, finally, elegant. Its ripe fruit flavors, red plums, sweet strawberries and smoky acidity all work together. The wine shows considerable concentration, but never loses sight of freshness. Age for another five years at least.",Clos des Mouches Premier Cru,93,90.0,Burgundy,Beaune,,Roger Voss,@vossroger,Chanson Père et Fils 2009 Clos des Mouches Premier Cru  (Beaune),Pinot Noir,Chanson Père et Fils, 2009 Clos des Mouches Premier Cru  (Beaune),2009,Good
58608,France,"A beautifully perfumed wine, all herbs and smokiness. The palate sings the same tune, a rich, sensuous one, laced with more somber notes of dark, dry tannins. At the end of the day, this is already a delicious wine, but one that will really improve over 5–10 years.",Grèves Premier Cru,93,75.0,Burgundy,Beaune,,Roger Voss,@vossroger,Chanson Père et Fils 2009 Grèves Premier Cru  (Beaune),Pinot Noir,Chanson Père et Fils, 2009 Grèves Premier Cru  (Beaune),2009,Good
58612,France,"Corton is the largest grand cru in Burgundy (all of 240 acres) and its style can vary widely. Bouchard has gone for a relatively soft style, emphasizing fruits, raspberry, myrtle and black currants, topped with acidity. It is a light, delicious wine, but probably not for aging.",,93,115.0,Burgundy,Corton,,Roger Voss,@vossroger,Bouchard Père & Fils 2010  Corton,Pinot Noir,Bouchard Père & Fils, 2010  Corton,2010,Good
59027,France,"Although this wine is tight with tannins and wood aging, it shows the softer side of the appellation with its ripe red berry fruit. Needing more time in bottle to deliver the opulence of its fine Premier Cru vineyard, it will be best from 2022.",Les Marconnets Premier Cru,91,50.0,Burgundy,Savigny-lès-Beaune,,Roger Voss,@vossroger,Labouré-Roi 2019 Les Marconnets Premier Cru  (Savigny-lès-Beaune),Pinot Noir,Labouré-Roi, 2019 Les Marconnets Premier Cru  (Savigny-lès-Beaune),2019,Good
59413,France,"Among the most northerly of the run of Beaune premier crus, the wine is structured but the structure is cushioned by the ripe red-berry fruits to give a generous wine. Backed by tannins, the wine will age well. Drink from 2022.",Perrières Premier Cru,93,80.0,Burgundy,Beaune,,Roger Voss,@vossroger,Louis Latour 2019 Perrières Premier Cru  (Beaune),Pinot Noir,Louis Latour, 2019 Perrières Premier Cru  (Beaune),2019,Good
59414,France,"A firmly structured wine, solid with tannins and with structure. The wine is also full of fruit potential, ripe with red berries. It is dense wine that needs to age. Drink from 2025.",Aux Cras Premier Cru,93,50.0,Burgundy,Beaune,,Roger Voss,@vossroger,Maison Champy 2019 Aux Cras Premier Cru  (Beaune),Pinot Noir,Maison Champy, 2019 Aux Cras Premier Cru  (Beaune),2019,Good
60105,France,"With a good sense of structure, this bottling, formerly called Vieilles Vignes, comes from 55-year-old vines. It is textured, with some firm tannins as well as ripe plum flavors and acidity. The wine is still developing and will be better from 2020.",Les Picotins,89,40.0,Burgundy,Savigny-lès-Beaune,,Roger Voss,@vossroger,Alex Gambal 2017 Les Picotins  (Savigny-lès-Beaune),Pinot Noir,Alex Gambal, 2017 Les Picotins  (Savigny-lès-Beaune),2017,Mid
60222,France,"This wine is concentrated and full in the mouth, and it bears a minerally texture and intense acidity. It's packed with flavors of sweet peach, lime, ripe Rocha pear and spice from the wood maturation. This promises to age for several years.",,91,60.0,Burgundy,Savigny-lès-Beaune,,Roger Voss,@vossroger,Domaine de Bellene 2014  Savigny-lès-Beaune,Chardonnay,Domaine de Bellene, 2014  Savigny-lès-Beaune,2014,Good
61451,France,"This wine comes from one of the best vineyard sites in Savigny-lès-Beaune, on the slope closest to Beaune. It is a smooth, perfumed and ripe wine that has a balanced structure under the bright red-cherry flavor. Still bursting with young fruit, the wine will age, so wait to drink until 2023.",Les Marconnets Premier Cru,90,60.0,Burgundy,Savigny-lès-Beaune,,Roger Voss,@vossroger,Nicolas Potel 2018 Les Marconnets Premier Cru  (Savigny-lès-Beaune),Pinot Noir,Nicolas Potel, 2018 Les Marconnets Premier Cru  (Savigny-lès-Beaune),2018,Mid
61470,France,"Damaged by hail in 2017, the vineyards yielded low quantities. The grapes harvested produced a wine with crisp red fruits and bright berry acidity. The fresh, tight aftertaste suggests the wine will age. Drink from 2023.",Dominode Premier Cru,90,68.0,Burgundy,Savigny-lès-Beaune,,Roger Voss,@vossroger,Chanson Père et Fils 2017 Dominode Premier Cru  (Savigny-lès-Beaune),Pinot Noir,Chanson Père et Fils, 2017 Dominode Premier Cru  (Savigny-lès-Beaune),2017,Mid
